run_name,protocol,num_clients,alpha,seed,rounds,split_point,run_id,final_round,final_auprc,final_auroc,final_f1,final_precision,final_recall,final_bmr_risk,final_bmr_f1,final_elapsed_time,final_round_time,final_activation_comm_mb,auprc_per_second,f1_per_second,auprc_per_comm_mb,f1_per_comm_mb,round_to_auprc_0.75,time_to_auprc_0.75,comm_to_auprc_0.75_mb,round_to_auprc_0.8,time_to_auprc_0.8,comm_to_auprc_0.8_mb,round_to_auprc_0.85,time_to_auprc_0.85,comm_to_auprc_0.85_mb,round_to_f1_0.75,time_to_f1_0.75,round_to_f1_0.8,time_to_f1_0.8
splitfedv1_c4_alpha0.5_seed10_r50_splitblock2_run26206,splitfedv1,4,0.5,10,50,block2_run26206,,50,0.7848035277798601,0.9285904805432992,0.7971014492753622,0.8730158730158731,0.7333333333333333,0.031828236368105,0.7862068965517242,356.05307602882385,2.9933135509490967,2781.31103515625,0.0022041756710348636,0.0022387152448328624,0.00028217035702221305,0.00028659198457125536,1,3.920959234237671,55.626220703125,7.0,46.84184241294861,389.383544921875,,,,1,3.920959234237671,1.0,3.920959234237671
splitfedv1_c4_alpha0.5_seed10_r50_splitblock3_run26175,splitfedv1,4,0.5,10,50,block3_run26175,,50,0.7920536884286952,0.9173587404269282,0.8201438848920863,0.890625,0.76,0.0300726800323022,0.7945205479452054,325.20734000205994,2.890301465988159,1390.655517578125,0.0024355344760166792,0.002521910744348179,0.0005695541983021678,0.000589753446863962,1,3.8098514080047607,27.8131103515625,5.0,30.010550022125244,139.0655517578125,,,,1,3.8098514080047607,1.0,3.8098514080047607
splitfedv1_c4_alpha0.5_seed10_r50_splitblock3_run26208,splitfedv1,4,0.5,10,50,block3_run26208,,50,0.7906883793288116,0.9347459583618988,0.8169014084507044,0.8656716417910447,0.7733333333333333,0.0300902355956602,0.7891156462585034,326.8499801158905,2.8983347415924072,1390.655517578125,0.002419117110083528,0.00249931607204338,0.0005685724245396322,0.0005874218295795976,1,3.814578056335449,27.8131103515625,5.0,30.12813401222229,139.0655517578125,,,,1,3.814578056335449,1.0,3.814578056335449
splitfedv1_c4_alpha0.5_seed20_r50_run25548,splitfedv1,4,0.5,20,50,unknown,25548.0,50,0.8124718367327116,0.9780714984677225,0.7515923566878981,0.7195121951219513,0.7866666666666666,0.0252097889821284,0.3368983957219251,312.4498145580292,1.6121504306793213,5562.6220703125,0.0026003274730118835,0.002405481845943967,0.00014605914737023795,0.00013511476192120216,1,2.5584042072296143,111.25244140625,10.0,59.32454609870911,1112.5244140625,,,,1,2.5584042072296143,1.0,2.5584042072296143
splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26222,splitfedv1,4,0.5,30,50,block1_run26222,,50,0.8051607271475709,0.9677329911344712,0.8201438848920863,0.890625,0.76,0.0317580141146729,0.8085106382978723,319.9250628948212,1.583285570144653,5562.6220703125,0.002516716633145669,0.0025635499684553234,0.00014474481943410874,0.0001474383617159905,2,8.923070907592773,222.5048828125,4.0,21.99010372161865,445.009765625,,,,2,8.923070907592773,2.0,8.923070907592773
splitfedv1_c4_alpha0.5_seed30_r50_splitblock1_run26238,splitfedv1,4,0.5,30,50,block1_run26238,,50,0.8104728127239101,0.9761726463573986,0.8260869565217391,0.9047619047619048,0.76,0.0317404585513149,0.8142857142857143,319.73565459251404,1.5759272575378418,5562.6220703125,0.002534821503584936,0.0025836560441610513,0.0001456997801539264,0.00014850675564146869,2,8.918389320373535,222.5048828125,3.0,15.50200605392456,333.75732421875,,,,2,8.918389320373535,3.0,15.50200605392456
splitfedv1_c4_alpha0.5_seed30_r50_splitblock2_run26224,splitfedv1,4,0.5,30,50,block2_run26224,,50,0.8105677467353521,0.9738181541183984,0.8201438848920863,0.890625,0.76,0.0266493451774867,0.7843137254901961,284.8340916633606,1.5388712882995603,2781.31103515625,0.0028457539685710974,0.0028793740247266366,0.0002914336931359479,0.000294876723431981,2,8.187499761581421,111.25244140625,4.0,19.710192918777462,222.5048828125,,,,2,8.187499761581421,3.0,14.009548425674438
splitfedv1_c4_alpha0.5_seed30_r50_splitblock3_run26226,splitfedv1,4,0.5,30,50,block3_run26226,,50,0.8010666576435599,0.9683373471384794,0.8201438848920863,0.890625,0.76,0.0317229029879568,0.8201438848920863,258.9790024757385,1.4821631908416748,1390.655517578125,0.003093172226264192,0.0031668354463173843,0.0005760352923624431,0.000589753446863962,2,7.431509256362915,55.626220703125,4.0,17.895764589309692,111.25244140625,,,,2,7.431509256362915,3.0,12.753368854522703
splitfedv1_c4_alpha1.0_seed10_r50_splitblock1_run26198,splitfedv1,4,1.0,10,50,block1_run26198,,50,0.7977082657122064,0.9587367939951132,0.7733333333333333,0.7733333333333333,0.7733333333333333,0.0308451248200554,0.6105263157894737,339.8242709636688,2.1748485565185547,5562.6220703125,0.002347414042705298,0.002275685992469948,0.0001434050804870503,0.00013902316633383806,1,3.09521222114563,111.25244140625,8.0,52.05114555358887,890.01953125,,,,1,3.09521222114563,1.0,3.09521222114563
splitfedv1_c4_alpha1.0_seed10_r50_splitblock2_run26200,splitfedv1,4,1.0,10,50,block2_run26200,,50,0.8088868514473853,0.95018358031419,0.7532467532467533,0.7341772151898734,0.7733333333333333,0.0249113444050419,0.484375,308.11284828186035,2.048966646194458,2781.31103515625,0.002625294128297496,0.0024447106229003677,0.0002908293395535114,0.00027082435000098324,1,2.9853947162628174,55.626220703125,14.0,83.83888411521912,778.76708984375,,,,1,2.9853947162628174,1.0,2.9853947162628174
