timestamp,benchmark,job_id,protocol,num_clients,alpha,seed,split_point,rounds,state,exit_code,elapsed,slurm_out,server_log,client_logs
Mon May  4 05:27:26 +03 2026,main_benchmark,26216,splitfedv1,4,1.0,30,block1,50,COMPLETED,0:0,00:06:14,cc_sfl_4c_26216.out,server_26216.log," client0_26216.log client1_26216.log client2_26216.log client3_26216.log"
Mon May  4 05:27:26 +03 2026,main_benchmark,26217,splitfedv2,4,1.0,30,block1,50,SUBMITTED,NA,NA,cc_sfl_4c_26217.out,server_26217.log," client0_26217.log client1_26217.log client2_26217.log client3_26217.log"
Mon May  4 05:34:37 +03 2026,main_benchmark,26217,splitfedv2,4,1.0,30,block1,50,COMPLETED,0:0,00:06:09,cc_sfl_4c_26217.out,server_26217.log," client0_26217.log client1_26217.log client2_26217.log client3_26217.log"
Mon May  4 05:34:37 +03 2026,main_benchmark,26218,splitfedv1,4,1.0,30,block2,50,SUBMITTED,NA,NA,cc_sfl_4c_26218.out,server_26218.log," client0_26218.log client1_26218.log client2_26218.log client3_26218.log"
Mon May  4 05:40:47 +03 2026,main_benchmark,26218,splitfedv1,4,1.0,30,block2,50,COMPLETED,0:0,00:05:36,cc_sfl_4c_26218.out,server_26218.log," client0_26218.log client1_26218.log client2_26218.log client3_26218.log"
Mon May  4 05:40:47 +03 2026,main_benchmark,26219,splitfedv2,4,1.0,30,block2,50,SUBMITTED,NA,NA,cc_sfl_4c_26219.out,server_26219.log," client0_26219.log client1_26219.log client2_26219.log client3_26219.log"
Mon May  4 05:46:58 +03 2026,main_benchmark,26219,splitfedv2,4,1.0,30,block2,50,COMPLETED,0:0,00:05:34,cc_sfl_4c_26219.out,server_26219.log," client0_26219.log client1_26219.log client2_26219.log client3_26219.log"
Mon May  4 05:46:58 +03 2026,main_benchmark,26220,splitfedv1,4,1.0,30,block3,50,SUBMITTED,NA,NA,cc_sfl_4c_26220.out,server_26220.log," client0_26220.log client1_26220.log client2_26220.log client3_26220.log"
Mon May  4 05:53:09 +03 2026,main_benchmark,26220,splitfedv1,4,1.0,30,block3,50,COMPLETED,0:0,00:05:05,cc_sfl_4c_26220.out,server_26220.log," client0_26220.log client1_26220.log client2_26220.log client3_26220.log"
Mon May  4 05:53:09 +03 2026,main_benchmark,26221,splitfedv2,4,1.0,30,block3,50,SUBMITTED,NA,NA,cc_sfl_4c_26221.out,server_26221.log," client0_26221.log client1_26221.log client2_26221.log client3_26221.log"
Mon May  4 05:59:19 +03 2026,main_benchmark,26221,splitfedv2,4,1.0,30,block3,50,COMPLETED,0:0,00:05:04,cc_sfl_4c_26221.out,server_26221.log," client0_26221.log client1_26221.log client2_26221.log client3_26221.log"
Mon May  4 05:59:19 +03 2026,main_benchmark,26222,splitfedv1,4,0.5,30,block1,50,SUBMITTED,NA,NA,cc_sfl_4c_26222.out,server_26222.log," client0_26222.log client1_26222.log client2_26222.log client3_26222.log"
Mon May  4 06:06:30 +03 2026,main_benchmark,26222,splitfedv1,4,0.5,30,block1,50,COMPLETED,0:0,00:06:08,cc_sfl_4c_26222.out,server_26222.log," client0_26222.log client1_26222.log client2_26222.log client3_26222.log"
Mon May  4 06:06:30 +03 2026,main_benchmark,26223,splitfedv2,4,0.5,30,block1,50,SUBMITTED,NA,NA,cc_sfl_4c_26223.out,server_26223.log," client0_26223.log client1_26223.log client2_26223.log client3_26223.log"
Mon May  4 06:13:41 +03 2026,main_benchmark,26223,splitfedv2,4,0.5,30,block1,50,COMPLETED,0:0,00:06:07,cc_sfl_4c_26223.out,server_26223.log," client0_26223.log client1_26223.log client2_26223.log client3_26223.log"
Mon May  4 06:13:41 +03 2026,main_benchmark,26224,splitfedv1,4,0.5,30,block2,50,SUBMITTED,NA,NA,cc_sfl_4c_26224.out,server_26224.log," client0_26224.log client1_26224.log client2_26224.log client3_26224.log"
Mon May  4 06:19:52 +03 2026,main_benchmark,26224,splitfedv1,4,0.5,30,block2,50,COMPLETED,0:0,00:05:33,cc_sfl_4c_26224.out,server_26224.log," client0_26224.log client1_26224.log client2_26224.log client3_26224.log"
Mon May  4 06:19:52 +03 2026,main_benchmark,26225,splitfedv2,4,0.5,30,block2,50,SUBMITTED,NA,NA,cc_sfl_4c_26225.out,server_26225.log," client0_26225.log client1_26225.log client2_26225.log client3_26225.log"
Mon May  4 06:26:02 +03 2026,main_benchmark,26225,splitfedv2,4,0.5,30,block2,50,COMPLETED,0:0,00:05:30,cc_sfl_4c_26225.out,server_26225.log," client0_26225.log client1_26225.log client2_26225.log client3_26225.log"
Mon May  4 06:26:03 +03 2026,main_benchmark,26226,splitfedv1,4,0.5,30,block3,50,SUBMITTED,NA,NA,cc_sfl_4c_26226.out,server_26226.log," client0_26226.log client1_26226.log client2_26226.log client3_26226.log"
Mon May  4 06:32:13 +03 2026,main_benchmark,26226,splitfedv1,4,0.5,30,block3,50,COMPLETED,0:0,00:05:07,cc_sfl_4c_26226.out,server_26226.log," client0_26226.log client1_26226.log client2_26226.log client3_26226.log"
Mon May  4 06:32:13 +03 2026,main_benchmark,26227,splitfedv2,4,0.5,30,block3,50,SUBMITTED,NA,NA,cc_sfl_4c_26227.out,server_26227.log," client0_26227.log client1_26227.log client2_26227.log client3_26227.log"
Mon May  4 06:38:24 +03 2026,main_benchmark,26227,splitfedv2,4,0.5,30,block3,50,COMPLETED,0:0,00:05:06,cc_sfl_4c_26227.out,server_26227.log," client0_26227.log client1_26227.log client2_26227.log client3_26227.log"
Mon May  4 06:38:24 +03 2026,client_count_ablation,26228,splitfedv1,2,0.5,10,block1,50,SUBMITTED,NA,NA,cc_sfl_2c_26228.out,server_26228.log," client0_26228.log client1_26228.log"
Mon May  4 06:44:35 +03 2026,client_count_ablation,26228,splitfedv1,2,0.5,10,block1,50,COMPLETED,0:0,00:05:44,cc_sfl_2c_26228.out,server_26228.log," client0_26228.log client1_26228.log"
Mon May  4 06:44:35 +03 2026,client_count_ablation,26229,splitfedv2,2,0.5,10,block1,50,SUBMITTED,NA,NA,cc_sfl_2c_26229.out,server_26229.log," client0_26229.log client1_26229.log"
Mon May  4 06:50:45 +03 2026,client_count_ablation,26229,splitfedv2,2,0.5,10,block1,50,COMPLETED,0:0,00:05:45,cc_sfl_2c_26229.out,server_26229.log," client0_26229.log client1_26229.log"
Mon May  4 06:50:45 +03 2026,client_count_ablation,26230,splitfedv1,3,0.5,10,block1,50,SUBMITTED,NA,NA,cc_sfl_3c_26230.out,server_26230.log," client0_26230.log client1_26230.log client2_26230.log"
Mon May  4 06:57:56 +03 2026,client_count_ablation,26230,splitfedv1,3,0.5,10,block1,50,COMPLETED,0:0,00:06:32,cc_sfl_3c_26230.out,server_26230.log," client0_26230.log client1_26230.log client2_26230.log"
Mon May  4 06:57:56 +03 2026,client_count_ablation,26231,splitfedv2,3,0.5,10,block1,50,SUBMITTED,NA,NA,cc_sfl_3c_26231.out,server_26231.log," client0_26231.log client1_26231.log client2_26231.log"
Mon May  4 07:05:07 +03 2026,client_count_ablation,26231,splitfedv2,3,0.5,10,block1,50,COMPLETED,0:0,00:06:30,cc_sfl_3c_26231.out,server_26231.log," client0_26231.log client1_26231.log client2_26231.log"
Mon May  4 07:05:07 +03 2026,client_count_ablation,26232,splitfedv1,4,0.5,10,block1,50,SUBMITTED,NA,NA,cc_sfl_4c_26232.out,server_26232.log," client0_26232.log client1_26232.log client2_26232.log client3_26232.log"
Mon May  4 07:13:18 +03 2026,client_count_ablation,26232,splitfedv1,4,0.5,10,block1,50,COMPLETED,0:0,00:07:18,cc_sfl_4c_26232.out,server_26232.log," client0_26232.log client1_26232.log client2_26232.log client3_26232.log"
Mon May  4 07:13:18 +03 2026,client_count_ablation,26233,splitfedv2,4,0.5,10,block1,50,SUBMITTED,NA,NA,cc_sfl_4c_26233.out,server_26233.log," client0_26233.log client1_26233.log client2_26233.log client3_26233.log"
Mon May  4 07:21:29 +03 2026,client_count_ablation,26233,splitfedv2,4,0.5,10,block1,50,COMPLETED,0:0,00:07:11,cc_sfl_4c_26233.out,server_26233.log," client0_26233.log client1_26233.log client2_26233.log client3_26233.log"
Mon May  4 07:21:29 +03 2026,client_count_ablation,26234,splitfedv1,2,0.5,30,block1,50,SUBMITTED,NA,NA,cc_sfl_2c_26234.out,server_26234.log," client0_26234.log client1_26234.log"
Mon May  4 07:28:39 +03 2026,client_count_ablation,26234,splitfedv1,2,0.5,30,block1,50,COMPLETED,0:0,00:06:11,cc_sfl_2c_26234.out,server_26234.log," client0_26234.log client1_26234.log"
Mon May  4 07:28:39 +03 2026,client_count_ablation,26235,splitfedv2,2,0.5,30,block1,50,SUBMITTED,NA,NA,cc_sfl_2c_26235.out,server_26235.log," client0_26235.log client1_26235.log"
Mon May  4 07:35:50 +03 2026,client_count_ablation,26235,splitfedv2,2,0.5,30,block1,50,COMPLETED,0:0,00:06:09,cc_sfl_2c_26235.out,server_26235.log," client0_26235.log client1_26235.log"
Mon May  4 07:35:50 +03 2026,client_count_ablation,26236,splitfedv1,3,0.5,30,block1,50,SUBMITTED,NA,NA,cc_sfl_3c_26236.out,server_26236.log," client0_26236.log client1_26236.log client2_26236.log"
Mon May  4 07:43:01 +03 2026,client_count_ablation,26236,splitfedv1,3,0.5,30,block1,50,COMPLETED,0:0,00:06:04,cc_sfl_3c_26236.out,server_26236.log," client0_26236.log client1_26236.log client2_26236.log"
Mon May  4 07:43:01 +03 2026,client_count_ablation,26237,splitfedv2,3,0.5,30,block1,50,SUBMITTED,NA,NA,cc_sfl_3c_26237.out,server_26237.log," client0_26237.log client1_26237.log client2_26237.log"
Mon May  4 07:49:12 +03 2026,client_count_ablation,26237,splitfedv2,3,0.5,30,block1,50,COMPLETED,0:0,00:05:58,cc_sfl_3c_26237.out,server_26237.log," client0_26237.log client1_26237.log client2_26237.log"
Mon May  4 07:49:12 +03 2026,client_count_ablation,26238,splitfedv1,4,0.5,30,block1,50,SUBMITTED,NA,NA,cc_sfl_4c_26238.out,server_26238.log," client0_26238.log client1_26238.log client2_26238.log client3_26238.log"
Mon May  4 07:56:23 +03 2026,client_count_ablation,26238,splitfedv1,4,0.5,30,block1,50,COMPLETED,0:0,00:06:08,cc_sfl_4c_26238.out,server_26238.log," client0_26238.log client1_26238.log client2_26238.log client3_26238.log"
Mon May  4 07:56:23 +03 2026,client_count_ablation,26239,splitfedv2,4,0.5,30,block1,50,SUBMITTED,NA,NA,cc_sfl_4c_26239.out,server_26239.log," client0_26239.log client1_26239.log client2_26239.log client3_26239.log"
Mon May  4 08:03:33 +03 2026,client_count_ablation,26239,splitfedv2,4,0.5,30,block1,50,COMPLETED,0:0,00:06:06,cc_sfl_4c_26239.out,server_26239.log," client0_26239.log client1_26239.log client2_26239.log client3_26239.log"
